counterfactual_variant,final_return,annualized_sharpe,delta_final_return_vs_original,delta_sharpe_vs_original,trigger_days,mean_alpha
stage7b_promote_code4_in_own_context,-0.0138235726219644,-0.0523286958166163,0.005403582528404,0.0491596232847231,259,0.690174170339553
stage7a_replace_code3_to_context_best,-0.0150197171378249,-0.0622540875769423,0.0042074380125435,0.0392342315243972,122,0.1142123398689953
stage7a_replace_code3_to_global_code1,-0.0153119502137084,-0.0646741898140957,0.0039152049366599,0.0368141292872438,122,0.1142128905373323
stage7_control_random_promote_code3_own_context_schedule,-0.0154258746427389,-0.0660049964807164,0.0038012805076295,0.0354833226206231,147,0.3326954272857708
stage7b_promote_code5_in_own_context,-0.0156719500329222,-0.067374648344022,0.0035552051174462,0.0341136707573175,201,0.4899344520533935
stage7_control_random_promote_code1_own_context_schedule,-0.0157856879628501,-0.0694764578232892,0.0034414671875182,0.0320118612780503,264,0.6644726352274675
stage7a_replace_code5_to_context_best,-0.0158805794986715,-0.0744730589715071,0.0033465756516969,0.0270152601298324,86,0.052593084891231
stage7_control_random_promote_code0_own_context_schedule,-0.0161105813511625,-0.0719129935130123,0.0031165737992059,0.0295753255883272,259,0.6335841699689903
