candidate,candidate_stage,candidate_mode,control,candidate_delta_return,control_delta_return,control_adjusted_delta_return,candidate_delta_sharpe,control_delta_sharpe,control_adjusted_delta_sharpe,candidate_trigger_days,control_trigger_days,candidate_mean_alpha,control_mean_alpha
stage7a_replace_code3_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code3_schedule,0.0042074380125435,0.0011902163946808,0.0030172216178626,0.0392342315243972,0.0097178328408525,0.0295163986835447,122,122,0.1142123398689953,0.1142132890978949
stage7a_replace_code3_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code3_schedule,0.0039152049366599,0.0011902163946808,0.0027249885419791,0.0368141292872438,0.0097178328408525,0.0270962964463913,122,122,0.1142128905373323,0.1142132890978949
stage7b_promote_code4_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code4_own_context_schedule,0.005403582528404,0.0027779243902715,0.0026256581381324,0.0491596232847231,0.0268460525581824,0.0223135707265407,259,259,0.690174170339553,0.690177470511062
stage7a_replace_code4_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code4_schedule,0.0018310416009412,2.1404188499385413e-07,0.0018308275590562,0.0149892753055745,2.485023012310794e-06,0.0149867902825621,5,5,0.0033379121039943,0.0033379121039943
stage7b_promote_code5_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code5_own_context_schedule,0.0035552051174462,0.0023240312681647,0.0012311738492815,0.0341136707573175,0.0230109568542998,0.0111027139030176,201,201,0.4899344520533935,0.4899316183378736
stage7b_promote_code6_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code6_own_context_schedule,0.0024422506557052,0.0016215527446192,0.0008206979110859,0.0252307007292353,0.0130863620165202,0.012144338712715,205,208,0.4935830502544545,0.4960989076348026
stage7b_promote_code7_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code7_own_context_schedule,0.0029239266694319,0.0022724026417073,0.0006515240277246,0.0302517172521276,0.0188862087386808,0.0113655085134468,249,254,0.6982676402015492,0.7162860068685535
stage7a_replace_code6_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code6_schedule,0.0020655105910376,0.0014325402302175,0.0006329703608201,0.0170593329019803,0.0118084109365676,0.0052509219654126,56,56,0.0361389766833483,0.0361389444643153
