market_context,code_id,n,share_context_days,mean_return,annualized_sharpe,mean_turnover_l1,score,mean_cash_target,mean_risk_stress,selected_reason,selected_code_id
bull_trend,2,96,0.28486646884273,0.0011484313915881,5.035251735618695,0.0013128326954523,0.7926673177029916,0.160721298928062,0.4225907415651788,train_context_score,2
calm_hold,1,165,0.4984894259818731,0.0006213825188377,2.2443419621152056,0.0011628946904038,0.3807900120205501,0.1819994803630944,0.4165863773109393,train_context_score,1
choppy_rotation,1,168,0.3906976744186046,0.0009063989616239,3.4236101012714983,0.0014100261995614,0.5704915432164818,0.1810751092575845,0.3982597799124617,train_context_score,1
recovery,1,20,0.2083333333333333,0.0013146360828655,5.504618600225468,0.0061947831036225,0.8805111962839396,0.1713344365358352,0.2344754385025232,train_context_score,1
stress,7,54,0.0344827586206896,0.003638776680129,2.989373043093284,0.0040547740536395,1.2150980728911227,0.1198944438386845,0.3366793162421946,train_context_score,7
